epoch,accuracy,loss,val_accuracy,val_loss
0,0.35898146,1.328495638376453,0.3890489935874939,1.2830149168926976
1,0.6385275,0.9950552624148937,0.6599423885345459,0.9004124952668072
2,0.7962912,0.5766474527069448,0.6887608170509338,0.7670193740545157
3,0.8494326,0.4011742981259525,0.7060518860816956,0.7616630943776551
4,0.8865209,0.323321859270062,0.6974063515663147,0.772850191558816
5,0.90977025,0.27007160818118187,0.7060518860816956,0.8186272743455958
6,0.92443955,0.22350051940526786,0.6945244669914246,0.87386687379062
7,0.9429837,0.18368033447153115,0.6772334575653076,0.9870761753159228
8,0.9493496,0.16060500401140512,0.7031700015068054,0.953927304627916
9,0.9590368,0.13317288052720638,0.6945244669914246,0.9706970673129607
10,0.9604207,0.12464848406140638,0.6945244669914246,1.047070533466614
11,0.9676169,0.11007667795636138,0.6945244669914246,1.1379466087742567
12,0.9667866,0.10305493296331031,0.6945244669914246,1.163126888811073
13,0.97093827,0.09254525219539576,0.6974063515663147,1.1510996406291336
14,0.9703847,0.09021270697858569,0.6829971075057983,1.2417985946369445
15,0.9714918,0.08687451077945306,0.680115282535553,1.2587893847429787
16,0.9756435,0.08487495664742237,0.6916426420211792,1.2976431097695738
17,0.9742596,0.07384864936863456,0.7031700015068054,1.2846695765294671
18,0.97508997,0.07496387929388304,0.6858789920806885,1.302521069386507
19,0.97481316,0.0704667284340285,0.6916426420211792,1.3467394577323188
20,0.97647387,0.0661530441857427,0.6858789920806885,1.3709300512539206
21,0.97619706,0.06070150455798662,0.6772334575653076,1.4115429034494185
22,0.9778577,0.06229982088551177,0.6945244669914246,1.396770304836526
23,0.97619706,0.05982024308810629,0.680115282535553,1.396705079834468
24,0.97758096,0.06005668399998299,0.680115282535553,1.4770424606477148
